Trial,Sex,Treatment,Tag,Animal Presence,Distance moved,In zone,In zone,In zone,In zone,In zone,In zone,Velocity
,,,,,Center-point,"object 1 boundary zone, Nose-point","object 1 boundary zone, Nose-point","object 1 boundary zone, Nose-point","object 1 boundary zone, Center-point","object 1 boundary zone, Center-point","object 1 boundary zone, Center-point",Center-point
,,,,,Total,Duration,Frequency,Latency to first,Duration,Frequency,Latency to first,Mean
,,,,,cm,s,,s,s,,s,cm/s
1,0,0,F1R,0,2436.681819,42.442439,41,12.012012,77.477477,10,12.612612,8.119564
2,0,0,F1R,1,1769.575118,77.077076,58,19.019019,115.915915,10,22.222222,5.896616
3,0,1,F2R,0,1832.061859,36.436433,32,5.205205,59.659659,9,6.406406,6.104836
4,0,1,F2R,1,1312.727235,113.513506,93,0,177.977978,16,0,4.374298
5,0,0,F3R,0,1687.568062,50.450449,67,0.8008,114.714714,10,1.001001,5.62335
6,0,0,F3R,1,874.540085,121.521521,70,21.421421,213.213212,12,21.821821,2.914161
7,0,0,F2L,0,1854.845741,37.237239,42,4.204204,86.286287,10,4.804804,6.180757
8,0,0,F2L,1,1507.650608,73.073077,64,15.615615,121.521521,16,16.016016,5.023826
9,0,1,F3L,0,1440.95498,50.050057,50,2.602602,89.489491,11,3.003003,4.801581
10,0,1,F3L,1,1274.081719,49.849846,43,33.433433,105.905906,9,33.833833,4.245523
11,0,0,"F1L, 2R",0,3129.325018,55.255262,71,14.614614,92.692692,13,14.814814,10.427604
12,0,0,"F1L, 2R",1,1968.518572,79.079079,80,0.4004,142.942943,11,0,6.55954
13,0,1,"F2L, 1R",0,1691.319815,27.627628,38,12.812812,62.262263,7,13.213213,5.635852
14,0,1,"F2L, 1R",1,977.14263,76.876879,47,1.601601,127.927926,8,0,3.256056
15,0,1,"F1L, 1R",0,1739.296814,29.429432,40,4.204204,81.681683,8,4.604604,5.795722
16,0,1,"F1L, 1R",1,1435.768053,64.864865,61,80.88088,126.526528,13,81.681681,4.784297
17,0,0,"F2L, 2R",0,2443.146849,27.027024,36,13.013013,55.655654,10,13.213213,8.141107
18,0,0,"F2L, 2R",1,1429.208085,83.283283,72,11.411411,138.938939,11,27.227227,4.762438
19,0,1,F1L,0,2000.339536,33.633634,43,8.208208,69.069068,9,11.211211,6.665574
20,0,1,F1L,1,1416.567496,35.635639,37,65.865865,71.871871,5,69.069069,4.720317
21,1,0,M2L,0,2034.667588,38.038037,35,11.611611,60.660661,7,12.012012,6.779963
22,1,0,M2L,1,975.151278,69.469474,26,1.401401,86.686685,10,0,3.24942
23,1,1,M3L,0,2040.779825,37.637636,41,35.035035,82.082082,8,35.435435,6.800331
24,1,1,M3L,1,1856.878247,80.680679,42,1.401401,107.307309,21,0,6.187529
25,1,0,M1R,0,1870.658817,37.237238,32,8.408408,63.663662,7,9.009009,6.233449
26,1,0,M1R,1,676.77349,,0,,,0,,2.255159
27,1,1,M1L,0,1630.2933,28.62863,31,7.807807,52.852853,6,8.408408,5.432498
28,1,1,M1L,1,1382.926415,49.24925,39,6.806806,86.886886,13,7.407407,4.608217
29,1,1,M2R,0,1626.754819,40.640639,33,46.046046,77.677676,6,73.073073,5.420707
30,1,1,M2R,1,1030.059389,96.296298,38,14.414414,130.730732,8,17.617617,3.432386
31,1,1,"M1L, 1R",0,1359.962237,44.644643,32,2.802802,41.441442,13,5.605605,4.531695
32,1,1,"M1L, 1R",1,551.204271,31.031032,9,72.272272,26.826826,2,74.674674,1.837961
33,1,1,"M2L, 1R",0,1502.966589,23.223224,18,23.423423,29.029028,4,24.224224,5.008217
34,1,1,"M2L, 1R",1,634.590569,17.017018,3,127.327327,4.204204,1,171.371371,2.114596
35,1,0,M3R,0,1718.552127,40.240241,40,16.216216,84.684686,13,17.617617,5.726596
36,1,0,M3R,1,1173.856768,73.073073,28,1.801801,61.461461,7,2.602602,3.911551
37,1,0,"M1L, 2R",0,1709.465994,49.049052,50,29.229229,90.290291,9,29.629629,6.043017
38,1,0,"M1L, 2R",1,535.375399,16.416417,1,133.933933,12.412413,2,135.735735,1.783989
